Customer_ID,Customer_Name,City,State,Region
CUST00001,Anjali Reddy,Noida,Uttar Pradesh,North
CUST00002,Ananya Singh,Hyderabad,Telangana,South
CUST00003,Sneha Agarwal,Noida,Uttar Pradesh,North
CUST00004,Vivaan Sharma,New Delhi,Delhi,North
CUST00005,Rohan Menon,Lucknow,Uttar Pradesh,North
CUST00006,Meera Agarwal,Howrah,West Bengal,East
CUST00007,Amit Kumar,Rohini,Delhi,North
CUST00008,Neha Mehta,Mumbai,Maharashtra,West
CUST00009,Aryan Mehta,Dwarka,Delhi,North
CUST00010,Vihaan Joshi,Udaipur,Rajasthan,West
CUST00011,Ishaan Verma,Patna,Bihar,East
CUST00012,Aditi Rao,Noida,Uttar Pradesh,North
CUST00013,Kabir Menon,Jaipur,Rajasthan,West
CUST00014,Meera Gupta,Lucknow,Uttar Pradesh,North
CUST00015,Aryan Das,New Delhi,Delhi,North
CUST00016,Riya Kumar,Patna,Bihar,East
CUST00017,Sai Joshi,Nagpur,Maharashtra,West
CUST00018,Diya Gupta,Hyderabad,Telangana,South
CUST00019,Sai Malhotra,Bhubaneswar,Odisha,East
CUST00020,Sneha Mehta,New Delhi,Delhi,North
CUST00021,Ishaan Mehta,Bhubaneswar,Odisha,East
CUST00022,Reyansh Pillai,Nagpur,Maharashtra,West
CUST00023,Rahul Rao,Howrah,West Bengal,East
CUST00024,Arjun Singh,Udaipur,Rajasthan,West
CUST00025,Simran Pillai,Bhubaneswar,Odisha,East
CUST00026,Arjun Bansal,Kolkata,West Bengal,East
CUST00027,Tanya Reddy,Hyderabad,Telangana,South
CUST00028,Ishaan Chatterjee,Amritsar,Punjab,North
CUST00029,Suresh Malhotra,Jaipur,Rajasthan,West
CUST00030,Sneha Reddy,Udaipur,Rajasthan,West
CUST00031,Vihaan Das,Howrah,West Bengal,East
CUST00032,Aarav Kumar,Hyderabad,Telangana,South
CUST00033,Tanya Das,Mysuru,Karnataka,South
CUST00034,Aryan Nair,Noida,Uttar Pradesh,North
CUST00035,Rahul Sharma,Amritsar,Punjab,North
CUST00036,Ananya Verma,Hyderabad,Telangana,South
CUST00037,Aditya Kapoor,Lucknow,Uttar Pradesh,North
CUST00038,Arjun Kapoor,Coimbatore,Tamil Nadu,South
CUST00039,Reyansh Agarwal,Warangal,Telangana,South
CUST00040,Riya Joshi,Patna,Bihar,East
CUST00041,Vihaan Singh,Mysuru,Karnataka,South
CUST00042,Aarav Pillai,Hyderabad,Telangana,South
CUST00043,Aarav Gupta,New Delhi,Delhi,North
CUST00044,Simran Verma,Nagpur,Maharashtra,West
CUST00045,Ananya Kumar,Kolkata,West Bengal,East
CUST00046,Nikita Pillai,Howrah,West Bengal,East
CUST00047,Ishaan Chatterjee,Bengaluru,Karnataka,South
CUST00048,Sneha Chatterjee,Surat,Gujarat,West
CUST00049,Pooja Verma,Dwarka,Delhi,North
CUST00050,Nikita Mehta,New Delhi,Delhi,North
CUST00051,Reyansh Agarwal,Howrah,West Bengal,East
CUST00052,Sai Kumar,Kolkata,West Bengal,East
CUST00053,Pooja Agarwal,Rohini,Delhi,North
CUST00054,Karan Sharma,New Delhi,Delhi,North
CUST00055,Neha Kapoor,Howrah,West Bengal,East
CUST00056,Simran Verma,Chennai,Tamil Nadu,South
CUST00057,Riya Kumar,Bhubaneswar,Odisha,East
CUST00058,Meera Agarwal,Kolkata,West Bengal,East
CUST00059,Isha Patel,Kanpur,Uttar Pradesh,North
CUST00060,Karan Verma,Mumbai,Maharashtra,West
CUST00061,Amit Kapoor,Bengaluru,Karnataka,South
CUST00062,Tanya Nair,Lucknow,Uttar Pradesh,North
CUST00063,Sneha Singh,Kolkata,West Bengal,East
CUST00064,Amit Menon,Lucknow,Uttar Pradesh,North
CUST00065,Neha Pillai,Ahmedabad,Gujarat,West
CUST00066,Sneha Mehta,Coimbatore,Tamil Nadu,South
CUST00067,Arjun Das,Bhubaneswar,Odisha,East
CUST00068,Aarav Malhotra,Rohini,Delhi,North
CUST00069,Reyansh Bansal,Pune,Maharashtra,West
CUST00070,Simran Gupta,Coimbatore,Tamil Nadu,South
CUST00071,Sai Malhotra,Jaipur,Rajasthan,West
CUST00072,Sneha Agarwal,Jaipur,Rajasthan,West
CUST00073,Simran Iyer,Mumbai,Maharashtra,West
CUST00074,Nikita Agarwal,Coimbatore,Tamil Nadu,South
CUST00075,Suresh Patel,Nagpur,Maharashtra,West
CUST00076,Anjali Kumar,Bhubaneswar,Odisha,East
CUST00077,Aditya Chatterjee,Mumbai,Maharashtra,West
CUST00078,Priya Iyer,Nagpur,Maharashtra,West
CUST00079,Pooja Agarwal,Patna,Bihar,East
CUST00080,Vihaan Gupta,Hyderabad,Telangana,South
CUST00081,Kabir Joshi,Chennai,Tamil Nadu,South
CUST00082,Vivaan Das,Pune,Maharashtra,West
CUST00083,Reyansh Singh,Amritsar,Punjab,North
CUST00084,Suresh Iyer,Bengaluru,Karnataka,South
CUST00085,Simran Chatterjee,Rohini,Delhi,North
CUST00086,Aditi Mehta,Patna,Bihar,East
CUST00087,Diya Nair,Ludhiana,Punjab,North
CUST00088,Tanya Kapoor,Mysuru,Karnataka,South
CUST00089,Kavya Das,Bengaluru,Karnataka,South
CUST00090,Sneha Patel,Bhubaneswar,Odisha,East
CUST00091,Tanya Gupta,Surat,Gujarat,West
CUST00092,Sneha Agarwal,Mumbai,Maharashtra,West
CUST00093,Simran Kumar,Warangal,Telangana,South
CUST00094,Vivaan Reddy,Bhubaneswar,Odisha,East
CUST00095,Neha Menon,Ludhiana,Punjab,North
CUST00096,Diya Verma,Kolkata,West Bengal,East
CUST00097,Kavya Chatterjee,Noida,Uttar Pradesh,North
CUST00098,Suresh Mehta,Noida,Uttar Pradesh,North
CUST00099,Rohan Das,Bhubaneswar,Odisha,East
CUST00100,Meera Das,Mysuru,Karnataka,South
CUST00101,Sneha Rao,Warangal,Telangana,South
CUST00102,Riya Agarwal,Amritsar,Punjab,North
CUST00103,Reyansh Chatterjee,Surat,Gujarat,West
CUST00104,Pooja Patel,Patna,Bihar,East
CUST00105,Sneha Gupta,Udaipur,Rajasthan,West
CUST00106,Aditya Singh,Mumbai,Maharashtra,West
CUST00107,Arjun Sharma,Dwarka,Delhi,North
CUST00108,Suresh Gupta,Bhubaneswar,Odisha,East
CUST00109,Meera Rao,Bhubaneswar,Odisha,East
CUST00110,Arjun Sharma,Ludhiana,Punjab,North
CUST00111,Sai Bansal,Kolkata,West Bengal,East
CUST00112,Aditi Reddy,Howrah,West Bengal,East
CUST00113,Sneha Bansal,Surat,Gujarat,West
CUST00114,Kabir Agarwal,Howrah,West Bengal,East
CUST00115,Pooja Kumar,Warangal,Telangana,South
CUST00116,Aryan Bansal,Patna,Bihar,East
CUST00117,Diya Malhotra,Noida,Uttar Pradesh,North
CUST00118,Ananya Kumar,Ahmedabad,Gujarat,West
CUST00119,Arjun Iyer,Chennai,Tamil Nadu,South
CUST00120,Meera Patel,Amritsar,Punjab,North
CUST00121,Priya Agarwal,Bhubaneswar,Odisha,East
CUST00122,Reyansh Chatterjee,Patna,Bihar,East
CUST00123,Tanya Pillai,Bhubaneswar,Odisha,East
CUST00124,Kavya Das,Bhubaneswar,Odisha,East
CUST00125,Rahul Singh,Surat,Gujarat,West
CUST00126,Aarav Rao,Udaipur,Rajasthan,West
CUST00127,Nikita Nair,Kolkata,West Bengal,East
CUST00128,Aditi Rao,Rohini,Delhi,North
CUST00129,Neha Iyer,Kolkata,West Bengal,East
CUST00130,Diya Rao,Pune,Maharashtra,West
CUST00131,Priya Mehta,Bhubaneswar,Odisha,East
CUST00132,Diya Gupta,Kolkata,West Bengal,East
CUST00133,Kavya Singh,Lucknow,Uttar Pradesh,North
